change_id,source_id,detected_at,previous_hash,new_hash,change_type,previous_version,new_version,affected_rule_ids,review_status,reviewed_by,reviewed_at,activation_status,notes
chg_src_tw_sfb_press_20251028_20260812T075811Z,src_tw_sfb_press_20251028,2026-08-12T07:58:11Z,,d7965ca59c162322dc8989e2af1d93832ebee99bbc1d3b07b384a0b36180fcc5,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,tw_ifrs_phase1_capital_10bn_news_legacy;tw_scope3_transition_first_three_years_news_legacy,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_fsc_roadmap_press_20230817_20260812T075812Z,src_tw_fsc_roadmap_press_20230817,2026-08-12T07:58:12Z,,e31a2b3e2c32d5463ad36c789bd374a41572ca108036e968c163db5a30b39fbf,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_tpex_qa_20250402_20260812T075814Z,src_tw_tpex_qa_20250402,2026-08-12T07:58:14Z,,e0489a5a24cdc4fc923fe5443f9af63bebff05ba44a1f77df9896c4dcd1361a6,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_fsc_portal_20260812T075816Z,src_tw_fsc_portal,2026-08-12T07:58:16Z,,9b0e1c5979d0e019556ae34abad907d0f2e1ca74020243d155f7dabe7ccdc238,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_sfb_portal_20260812T075818Z,src_tw_sfb_portal,2026-08-12T07:58:18Z,,fe1c8dd6c304eee2e5f0bb80c492edc32d14d52428d0316ac70ab9ab8d3b81df,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_twse_portal_20260812T075819Z,src_tw_twse_portal,2026-08-12T07:58:19Z,,7148a20e5ac6d873dae9c68a46d735eee20f50d8707e6ac7ae1d3e0d3fca0de9,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_tpex_portal_20260812T075820Z,src_tw_tpex_portal,2026-08-12T07:58:20Z,,d60bd16b4e83c8695e04f7ae470465d529b3d682f100bcc0f6b2214c3ff15fb9,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_moenv_ghg_registry_20260812T075822Z,src_tw_moenv_ghg_registry,2026-08-12T07:58:22Z,,bc570327ebb8311b77f97f0064e3e0f1e046981452e0ff34cdc0f8463bfc5ac5,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_moenv_oaout_20260812T075823Z,src_tw_moenv_oaout,2026-08-12T07:58:23Z,,74a50e75e376fcab4abed3f25e0e4fd9778f922fe9cecbb1e1f3d25739538748,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_ifrs_s1_2023_20260812T075825Z,src_issb_ifrs_s1_2023,2026-08-12T07:58:25Z,,57288b3577315ff867c63a39b67fc0841d0f711e2dcd8b13ce43b392717867ee,BASELINE_CAPTURED,2023-06,2023-06,ifrs_s1_objective;ifrs_s1_scope;ifrs_s1_conceptual_foundations;ifrs_s1_reporting_entity;ifrs_s1_materiality;ifrs_s1_fair_presentation;ifrs_s1_connected_information;ifrs_s1_timing;ifrs_s1_comparative;ifrs_s1_compliance_statement;ifrs_s1_judgements;ifrs_s1_measurement_uncertainty;ifrs_s1_errors;ifrs_s1_commercial_sensitivity;ifrs_s1_transition,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_ifrs_s2_2023_20260812T075827Z,src_issb_ifrs_s2_2023,2026-08-12T07:58:27Z,,e42af1b20129bd0037cd6dbc6b902c1b89a1be43f58c9356763a141ab06c61ef,BASELINE_CAPTURED,2023-06,2023-06,ifrs_s2_objective;ifrs_s2_physical_risks;ifrs_s2_transition_risks;ifrs_s2_opportunities;ifrs_s2_scope1;ifrs_s2_scope2;ifrs_s2_scope3;ifrs_s2_business_model_value_chain;ifrs_s2_strategy_decision_making;ifrs_s2_transition_plan;ifrs_s2_current_financial_effects;ifrs_s2_anticipated_financial_effects;ifrs_s2_climate_resilience;ifrs_s2_scenario_analysis;ifrs_s2_cross_industry_metrics;ifrs_s2_industry_metrics;ifrs_s2_climate_targets;ifrs_s2_capital_deployment;ifrs_s2_internal_carbon_price;ifrs_s2_executive_remuneration;ifrs_s2_transition_provisions,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_ifrs_s2_ghg_amendments_2025_20260812T075829Z,src_issb_ifrs_s2_ghg_amendments_2025,2026-08-12T07:58:29Z,,1c07acba30acd0e9b6dd4163dab04ba4a900250d839a6745974c7aeac5547d74,BASELINE_CAPTURED,2025-12,2025-12,ifrs_s2_ghg_amendments_2025_international,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_s1_s2_mapping_education_20260812T075831Z,src_issb_s1_s2_mapping_education,2026-08-12T07:58:31Z,,df53010c835fadfb140125557a31e824548036d2572c124768e2238927fad244,BASELINE_CAPTURED,education_mapping,education_mapping,ifrs_s1_governance;ifrs_s1_strategy;ifrs_s1_risk_management;ifrs_s1_metrics_targets;ifrs_s2_governance;ifrs_s2_strategy;ifrs_s2_risk_management;ifrs_s2_metrics_targets,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_knowledge_hub_20260812T075834Z,src_issb_knowledge_hub,2026-08-12T07:58:34Z,,363958a72b63dbf5832437dffc520207dd873b77d68dccef27a447966a2c1a4a,BASELINE_CAPTURED,portal_live,portal_live,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_issb_sasb_hub_20260812T075836Z,src_issb_sasb_hub,2026-08-12T07:58:36Z,,a58dc124dcbb8f6409bda47402bd84778544bfdd11611f645057481303523576,BASELINE_CAPTURED,portal_live,portal_live,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_ifrs_org_portal_20260812T075838Z,src_ifrs_org_portal,2026-08-12T07:58:38Z,,1c847a90807d78416c5ea7e195e3192dc971b70ae2a09ee8624c17381e6b09f9,BASELINE_CAPTURED,portal_live,portal_live,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_twse_portal_20260812T095850Z,src_tw_twse_portal,2026-08-12T09:58:50Z,,dca8a2bdc9b4cfd9c049dc3f48692cff0bff1b010d6a48383b2ec1821d1f289f,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_tpex_portal_20260812T095852Z,src_tw_tpex_portal,2026-08-12T09:58:52Z,,121721d463f53715750768ec82cb6e4d09abca5ebb47665fe655de83a7981796,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_moenv_ghg_registry_20260812T095853Z,src_tw_moenv_ghg_registry,2026-08-12T09:58:53Z,,,SOURCE_UNAVAILABLE,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,Fetch failed; last_successful_fetch_at unchanged. Error: HTTP Error 404: Not Found
chg_src_tw_twse_portal_20260812T151951Z,src_tw_twse_portal,2026-08-12T15:19:51Z,,dca8a2bdc9b4cfd9c049dc3f48692cff0bff1b010d6a48383b2ec1821d1f289f,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_tpex_portal_20260812T151952Z,src_tw_tpex_portal,2026-08-12T15:19:52Z,,121721d463f53715750768ec82cb6e4d09abca5ebb47665fe655de83a7981796,BASELINE_CAPTURED,portal_or_doc,portal_or_doc,,INFO,,,NOT_ACTIVATED,BASELINE_CAPTURED: first successful hash stored; not a legal amendment.
chg_src_tw_moenv_ghg_open_data_20260812T151953Z,src_tw_moenv_ghg_open_data,2026-08-12T15:19:53Z,,,CREDENTIAL_REQUIRED,GHG_P_01,GHG_P_01,,INFO,,,NOT_ACTIVATED,CREDENTIAL_REQUIRED before HTTP — not SOURCE_UNAVAILABLE and not a critical legal failure. Set MOENV_API_KEY via environment/secrets.
chg_src_tw_twse_portal_20260904T185908Z,src_tw_twse_portal,2026-09-04T18:59:08Z,dca8a2bdc9b4cfd9c049dc3f48692cff0bff1b010d6a48383b2ec1821d1f289f,aa277098cc8ece6f495657421fc2ae140d0bce6f7acc133e87d91ac2ad970e0f,POTENTIAL_REGULATORY_CHANGE,portal_or_doc,portal_or_doc,,PENDING_REVIEW,,,NOT_ACTIVATED,Detected change recorded; legal rules are NOT auto-activated.
