snapshot_id,source_id,authority,reference_type,canonical_url,upstream_canonical_url,upstream_factor_authority,discovered_url,retrieved_url,retrieved_host,retrieved_at,publication_date,file_name,media_type,sha256,byte_size,parser_version,local_path,status,tls_verification,tls_compatibility_mode,notes
snap_src_tw_moenv_electricity_factor_enterprise_9673b8dae7ad,src_tw_moenv_electricity_factor_enterprise,Taiwan Ministry of Environment / Climate Change Administration,electricity_factor_enterprise_inventory,https://www.moea.gov.tw/mns/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122891,https://www.moea.gov.tw/mns/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122891,Taiwan Ministry of Economic Affairs / Energy Administration,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,ghgregistry.moenv.gov.tw,2026-08-10T00:00:00Z,,src_tw_moenv_electricity_factor_enterprise__unknown-pub__9673b8dae7ad.html,text/html,9673b8dae7ad4d277ed955f5940995ff8773286b87c96a0676dd3e23929871d9,96958,reference_sync_v1,/Users/justin/Downloads/carbon-evidence-ledger-tw/data/reference_snapshots/src_tw_moenv_electricity_factor_enterprise__unknown-pub__9673b8dae7ad.html,downloaded,verified,python313_relaxed_x509_strict,Downloaded official landing HTML for parse_landing retrieval; attachment discovery was not used.; Retrieved from operational MOENV GHG Registry source; upstream MOEA canonical URL retained separately and was not required for this fetch.
snap_src_tw_moenv_general_emission_factors_085fe962e158,src_tw_moenv_general_emission_factors,Taiwan Ministry of Environment / Climate Change Administration,general_emission_factors,,,,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113年2月5日公告溫室氣體排放係數.ods,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.ods,ghgregistry.moenv.gov.tw,2026-08-10T00:00:00Z,,src_tw_moenv_general_emission_factors__unknown-pub__085fe962e158.ods,application/oleobject,085fe962e158078e5b3383568b4eeeda0466373ae2d0f62f7870efa0a0dcd0b0,130033,reference_sync_v1,/Users/justin/Downloads/carbon-evidence-ledger-tw/data/reference_snapshots/src_tw_moenv_general_emission_factors__unknown-pub__085fe962e158.ods,downloaded,verified,python313_relaxed_x509_strict,Downloaded by official reference sync from allowlisted landing-page discovery.; Discovered official URL retained separately from the percent-encoded transport URI used for HTTPS retrieval.
snap_src_tw_moenv_fuel_heating_values_f809a27150c0,src_tw_moenv_fuel_heating_values,Taiwan Ministry of Environment / Climate Change Administration,fuel_heating_values,,,,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,ghgregistry.moenv.gov.tw,2026-08-10T00:00:00Z,,src_tw_moenv_fuel_heating_values__unknown-pub__f809a27150c0.pdf,application/pdf,f809a27150c014e1cb3bde3133cc433a8be5fe1f14105e63903970540ba9d623,1168401,reference_sync_v1,/Users/justin/Downloads/carbon-evidence-ledger-tw/data/reference_snapshots/src_tw_moenv_fuel_heating_values__unknown-pub__f809a27150c0.pdf,downloaded,verified,python313_relaxed_x509_strict,Downloaded by official reference sync from allowlisted landing-page discovery. WRONG_DOCUMENT_FOR_SOURCE: filename/source_id say fuel_heating_values but retrieved_url is 113年2月5日公告溫室氣體排放係數.pdf. Do not use as heating-value evidence. File retained.
snap_src_tw_moenv_electricity_factor_enterprise_d6942536f71c,src_tw_moenv_electricity_factor_enterprise,Taiwan Ministry of Environment / Climate Change Administration,electricity_factor_enterprise_inventory,https://www.moea.gov.tw/mns/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122891,https://www.moea.gov.tw/mns/Populace/news/News.aspx?kind=1&menu_id=40&news_id=122891,Taiwan Ministry of Economic Affairs / Energy Administration,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,ghgregistry.moenv.gov.tw,2026-08-10T00:00:00Z,2026-06-17,src_tw_moenv_electricity_factor_enterprise__2026-06-17__d6942536f71c.html,text/html,d6942536f71cb6f8d77247139048e68e58587fbb474279191ab1b315939d6cad,96958,reference_sync_v1,/Users/justin/Downloads/carbon-evidence-ledger-tw/data/reference_snapshots/src_tw_moenv_electricity_factor_enterprise__2026-06-17__d6942536f71c.html,downloaded,verified,python313_relaxed_x509_strict,Downloaded official landing HTML for parse_landing retrieval; attachment discovery was not used.; Retrieved from operational MOENV GHG Registry source; upstream MOEA canonical URL retained separately and was not required for this fetch.
snap_src_tw_moenv_fuel_heating_values_80585dc0f2bd,src_tw_moenv_fuel_heating_values,環境部氣候變遷署,fuel_heating_values,,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,data/reference/manual_sources/moenv_114_fuel_heating_values_2026-02-10.pdf,ghgregistry.moenv.gov.tw,2026-08-13T17:06:43+08:00,2026-02-10,moenv_114_fuel_heating_values_2026-02-10.pdf,application/pdf,80585dc0f2bd92f6abe0405a9855ccace2bc745e92b7f1be9b5c67e8cdb5c8c7,619303,manual_html_snapshot_v1,/Users/justin/Downloads/carbon-evidence-ledger-tw/data/reference/manual_sources/moenv_114_fuel_heating_values_2026-02-10.pdf,manually_verified,not_applicable,not_applicable,"source_medium=official HTML announcement; local_snapshot=manually saved PDF; not originally published as a downloadable PDF; verification_method=MANUALLY_VERIFIED_FIRST_PARTY_HTML_SNAPSHOT; verification_date=2026-08-13; saved_date=2026-08-13; announcement_title=114年度車用汽油、柴油、液化石油氣及天然氣之熱值; authority=環境部氣候變遷署; CANONICAL_DETAIL_URL_INCOMPLETE: printed footer URL truncated at Record_ID= and was not guessed; official portal/source page retained as NewsList Type_ID=1; supersedes rejected snap_src_tw_moenv_fuel_heating_values_f809a27150c0 for this source purpose."
