reference_id,framework,title,publisher,version,publication_year,source_location,reference_locator,authority_level,notes
ref_ghgp_corporate_standard,ghg_protocol,GHG Protocol Corporate Accounting and Reporting Standard,World Resources Institute and World Business Council for Sustainable Development,Revised Edition,,Official GHG Protocol Corporate Standard,"Chapter 4, scope definitions and direct versus indirect emissions",official_standard,Used for corporate Scope 1 and Scope 2 classification.
ref_ghgp_scope3_standard,ghg_protocol,Corporate Value Chain (Scope 3) Accounting and Reporting Standard,World Resources Institute and World Business Council for Sustainable Development,2011 Standard,2011,Official GHG Protocol Scope 3 Standard,"Table 5.3 and Table 5.4, Scope 3 categories and minimum boundaries",official_standard,Used for Scope 3 category classification.
