candidate_id,snapshot_id,source_id,reference_type,factor_year,valid_from,valid_to,geography,activity_type,combustion_context,gas,factor_value,numerator_unit,denominator_unit,factor_category,intended_use,applicability_notes,upstream_factor_authority,publication_date,source_locator,validation_status,lifecycle_status,parser_version,reason,notes
cand_review_9673b8dae7ad,snap_src_tw_moenv_electricity_factor_enterprise_9673b8dae7ad,src_tw_moenv_electricity_factor_enterprise,electricity_factor_enterprise_inventory,,,,,,,,,,,,,,Taiwan Ministry of Economic Affairs / Energy Administration,,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,failed,needs_parser_review,reference_sync_v1,Candidate requires parser review; values were not extracted.,Snapshot retained; values not guessed from unstructured text.
cand_review_085fe962e158,snap_src_tw_moenv_general_emission_factors_085fe962e158,src_tw_moenv_general_emission_factors,general_emission_factors,,,,,,,,,,,,,,,,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.ods,failed,needs_parser_review,reference_sync_v1,Candidate requires parser review; values were not extracted.,Snapshot retained; values not guessed from unstructured text.
cand_review_f809a27150c0,snap_src_tw_moenv_fuel_heating_values_f809a27150c0,src_tw_moenv_fuel_heating_values,fuel_heating_values,,,,,,,,,,,,,,,,https://ghgregistry.moenv.gov.tw/upload/Tools/AI/113%E5%B9%B42%E6%9C%885%E6%97%A5%E5%85%AC%E5%91%8A%E6%BA%AB%E5%AE%A4%E6%B0%A3%E9%AB%94%E6%8E%92%E6%94%BE%E4%BF%82%E6%95%B8.pdf,failed,needs_parser_review,reference_sync_v1,Candidate requires parser review; values were not extracted.,Snapshot retained; values not guessed from unstructured text.
cand_83871f87d2d4,snap_src_tw_moenv_electricity_factor_enterprise_d6942536f71c,src_tw_moenv_electricity_factor_enterprise,electricity_factor_enterprise_inventory,2025,2025-01-01,2025-12-31,TW,grid_electricity,not_applicable,CO2e,0.467,kgCO2e,kWh,public_sales_average,public_electricity_sales_average,Public electricity-sales average factor. Not interchangeable with industrial or residential factors.,Taiwan Ministry of Economic Affairs / Energy Administration,2026-06-17,moenv_ghg_registry_news;date=2026-06-17;category=public_sales_average;year=2025,passed,validated,reference_sync_v1,Passed deterministic validation; not active until activation.,Public electricity-sales average factor. Not interchangeable with industrial or residential factors.
cand_41926cdec443,snap_src_tw_moenv_electricity_factor_enterprise_d6942536f71c,src_tw_moenv_electricity_factor_enterprise,electricity_factor_enterprise_inventory,2025,2025-01-01,2025-12-31,TW,grid_electricity,not_applicable,CO2e,0.466,kgCO2e,kWh,industrial_enterprise_inventory,enterprise GHG inventory / disclosure,Enterprise inventory / disclosure uses the industrial electricity factor for applicable business electricity tariff categories. Do not assume applicability for every grid-electricity activity without tariff/use context.,Taiwan Ministry of Economic Affairs / Energy Administration,2026-06-17,moenv_ghg_registry_news;date=2026-06-17;category=industrial_enterprise_inventory;year=2025,passed,active,reference_sync_v1,Activated into emission_factors as ef_tw_grid_electricity_2025_industrial_enterprise_inventory.,Enterprise inventory / disclosure uses the industrial electricity factor for applicable business electricity tariff categories. Do not assume applicability for every grid-electricity activity without tariff/use context.
cand_873d92238d56,snap_src_tw_moenv_electricity_factor_enterprise_d6942536f71c,src_tw_moenv_electricity_factor_enterprise,electricity_factor_enterprise_inventory,2025,2025-01-01,2025-12-31,TW,grid_electricity,not_applicable,CO2e,0.471,kgCO2e,kWh,residential,residential_electricity,Residential electricity factor. Not interchangeable with industrial/enterprise-inventory factor.,Taiwan Ministry of Economic Affairs / Energy Administration,2026-06-17,moenv_ghg_registry_news;date=2026-06-17;category=residential;year=2025,passed,validated,reference_sync_v1,Passed deterministic validation; not active until activation.,Residential electricity factor. Not interchangeable with industrial/enterprise-inventory factor.
