gwp_id,gas,gwp_value,emission_context,gwp_status,assessment_basis,source_reference_id,source_locator,valid_from,notes
gwp_ar5_co2_fuel_combustion,CO2,1,fuel_combustion,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 3; 二氧化碳（Carbon dioxide） GWP=1",2024-02-05,Official MOENV 113-02-05 GWP table. Used for fuel-combustion CO2e aggregation.
gwp_ar5_ch4_fuel_combustion,CH4,28,fuel_combustion,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 4; 甲烷（Methane） GWP=28",2024-02-05,Combustion methane uses CH4 GWP 28. Do not use fossil-methane GWP 30 for stationary or mobile fuel combustion.
gwp_ar5_n2o_fuel_combustion,N2O,265,fuel_combustion,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 6; 氧化亞氮（Nitrous Oxide） GWP=265",2024-02-05,Official MOENV 113-02-05 GWP table. Used for fuel-combustion CO2e aggregation.
gwp_ar5_ch4_fossil_methane_process,CH4,30,fossil_methane_process,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 5; 石化甲烷（Fossil methane） GWP=30; 註1：適用於化石燃料所排放之甲烷",2024-02-05,Fossil-methane GWP 30 is reserved for fossil-carbon process/fugitive routes. It must not be selected for stationary or mobile fuel combustion.
gwp_ar5_hfc32_refrigerant_fugitive,HFC-32,677,refrigerant_fugitive,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 9; 二氟甲烷（HFC-32） GWP=677",2024-02-05,Official MOENV 113-02-05 GWP table. Refrigerant fugitive context only. Not used for fuel combustion.
gwp_ar5_hfc125_refrigerant_fugitive,HFC-125,3170,refrigerant_fugitive,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 11; 1,1,1,2,2-五氟乙烷（HFC-125） GWP=3170",2024-02-05,Official MOENV 113-02-05 GWP table. Refrigerant fugitive context only. Not used for fuel combustion.
gwp_ar5_hfc134a_refrigerant_fugitive,HFC-134a,1300,refrigerant_fugitive,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 13; 1,1,1,2-四氟乙烷（HFC-134a） GWP=1300",2024-02-05,Official MOENV 113-02-05 GWP table. Refrigerant fugitive context only. Not used for fuel combustion.
gwp_ar5_hfc143a_refrigerant_fugitive,HFC-143a,4800,refrigerant_fugitive,ready,IPCC AR5 100-year GWP,ref_tw_moenv_2024_emission_factors,"ODS snap_src_tw_moenv_general_emission_factors_085fe962e158; sheet 附表四; row 15; 1,1,1-三氟乙烷（HFC-143a） GWP=4800",2024-02-05,Official MOENV 113-02-05 GWP table. Refrigerant fugitive context only. Not used for fuel combustion.
