activation_id,candidate_id,snapshot_id,factor_id,factor_year,factor_category,factor_value,numerator_unit,denominator_unit,activated_at,activated_by,registry_table,sha256,source_id,upstream_factor_authority,retrieved_url,notes
act_41926cdec443_d6942536,cand_41926cdec443,snap_src_tw_moenv_electricity_factor_enterprise_d6942536f71c,ef_tw_grid_electricity_2025_industrial_enterprise_inventory,2025,industrial_enterprise_inventory,0.466,kgCO2e,kWh,2026-08-11T14:32:00+08:00,justin,emission_factors,d6942536f71cb6f8d77247139048e68e58587fbb474279191ab1b315939d6cad,src_tw_moenv_electricity_factor_enterprise,Taiwan Ministry of Economic Affairs / Energy Administration,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,Historical rows preserved; prior years not overwritten. Activated exactly one selected candidate_id.
act_moenv_114_hv_diesel_80585dc0,cand_moenv_114_hv_diesel_80585dc0,snap_src_tw_moenv_fuel_heating_values_80585dc0f2bd,hv_tw_diesel_l_2025,2025,diesel,8636,kcal,L,2026-08-13T17:06:43+08:00,manual_verification,fuel_heating_values,80585dc0f2bd92f6abe0405a9855ccace2bc745e92b7f1be9b5c67e8cdb5c8c7,src_tw_moenv_fuel_heating_values,環境部氣候變遷署,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,Activated official 114 diesel LHV 8636 kcal/L from MANUALLY_VERIFIED_FIRST_PARTY_HTML_SNAPSHOT. Canonical detail Record_ID not guessed.
act_moenv_114_hv_ng1_80585dc0,cand_moenv_114_hv_ng1_80585dc0,snap_src_tw_moenv_fuel_heating_values_80585dc0f2bd,hv_tw_natural_gas_ng1_2025,2025,NG1,8067,kcal,m3,2026-08-13T17:06:43+08:00,manual_verification,fuel_heating_values,80585dc0f2bd92f6abe0405a9855ccace2bc745e92b7f1be9b5c67e8cdb5c8c7,src_tw_moenv_fuel_heating_values,環境部氣候變遷署,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,Activated official 114 NG1 LHV 8067 kcal/m3 (HHV 8963 preserved). Calculation uses announced LHV.
act_moenv_114_hv_ng2_80585dc0,cand_moenv_114_hv_ng2_80585dc0,snap_src_tw_moenv_fuel_heating_values_80585dc0f2bd,hv_tw_natural_gas_ng2_2025,2025,NG2,8728,kcal,m3,2026-08-13T17:06:43+08:00,manual_verification,fuel_heating_values,80585dc0f2bd92f6abe0405a9855ccace2bc745e92b7f1be9b5c67e8cdb5c8c7,src_tw_moenv_fuel_heating_values,環境部氣候變遷署,https://ghgregistry.moenv.gov.tw/epa_ghg/News/NewsList.aspx?Type_ID=1,Activated official 114 NG2 LHV 8728 kcal/m3 (HHV 9698 preserved). Calculation uses announced LHV.
