unified_business_number,company_name,registered_address,paid_in_capital_twd,listing_status,industry_code,stock_code,source_id,source_authority,source_dataset,source_data_date
11893409,台達化學工業股份有限公司,台北市內湖區基湖路37號12樓,3975868480,TWSE,03,1309,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
20844865,台灣苯乙烯工業股份有限公司,台北市中正區羅斯福路一段六號八樓之一,5278697640,TWSE,03,1310,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04212250,國喬石油化學股份有限公司,臺北市敦化北路135號8樓,15266203280,TWSE,03,1312,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04748660,聯成化學科技股份有限公司,台北市南港區南港路一段209號A棟9樓,13308461070,TWSE,03,1313,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03084741,中國石油化學工業開發(股)公司,高雄市大社區經建路1號,37848501300,TWSE,03,1314,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
51059101,達新工業股份有限公司,台中市西屯區工業區35路51號,990990000,TWSE,03,1315,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
73654033,上曜建設開發股份有限公司,台南市安平區永華路二段248號20樓之6,4016461500,TWSE,14,1316,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
68326665,東陽實業廠股份有限公司,台南市安和路二段98號,5914770680,TWSE,12,1319,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
15024509,大洋塑膠工業股份有限公司,"台北市莒光路310號5,6樓",2272282680,TWSE,03,1321,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
68192103,永裕塑膠工業股份有限公司,台南市仁德區勝利路88號,912745540,TWSE,03,1323,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07147916,地球綜合工業股份有限公司,台北市中山區南京東路3段61號7樓,751218820,TWSE,03,1324,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11455800,恒大股份有限公司,台北市林森北路372號10樓,852811980,TWSE,03,1325,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
58650902,台灣化學纖維股份有限公司,彰化市中山路3段359號,58611862910,TWSE,03,1326,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
26068617,亞洲塑膠再生資源控股有限公司,高雄市苓雅區四維四路190號12樓之2,2689547290,TWSE,03,1337,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
26594386,廣華控股有限公司,廣東省東莞市厚街鎮橋頭第三工業區,838400000,TWSE,12,1338,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
22078327,昭輝實業股份有限公司,彰化縣鹿港鎮興業路8號,741238750,TWSE,12,1339,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
37722768,勝悅新材料有限公司,中國福建省晉江市青陽蓮嶼工業區,1529228550,TWSE,03,1340,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
82716171,富林塑膠工業(開曼)控股(股)公司,越南海防市陽京郡海城坊范文同路第9里程,528506340,TWSE,03,1341,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
12386676,八貫企業股份有限公司,宜蘭縣冬山鄉德興四路6號,780009020,TWSE,20,1342,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03522600,遠東新世紀股份有限公司,台北市大安區敦化南路二段207號36樓,53528752270,TWSE,04,1402,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07435515,新光合成纖維股份有限公司,臺北市中山區中山北路2段44號14、17樓,16184092860,TWSE,04,1409,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
35286207,南洋染整股份有限公司,桃園市蘆竹區南山路三段二三三號,620000000,TWSE,04,1410,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07220710,宏洲纖維工業股份有限公司,台北市內湖區瑞光路607號7樓,1321124540,TWSE,04,1413,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
73141105,東和紡織股份有限公司,台北市仁愛路四段376號13樓,1980000000,TWSE,04,1414,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
43434316,廣豐實業股份有限公司,台北市大安區敦化南路2段97號28樓,1853421680,TWSE,20,1416,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11825825,嘉裕股份有限公司,臺北市仁愛路四段25號7樓,1899418400,TWSE,04,1417,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11083148,東華龍股份有限公司,台北市新生南路1段56號9樓,568343090,TWSE,04,1418,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
07435901,新光紡織股份有限公司,台北市中山區中山北路二段44號15樓,3000412800,TWSE,04,1419,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
11311608,利華羊毛工業股份有限公司,台北市忠孝東路四段310號12樓,996480000,TWSE,04,1423,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
04690983,大魯閣實業股份有限公司,台中市東區復興路4段186號8樓,1080000000,TWSE,37,1432,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
14001199,福懋興業股份有限公司,雲林縣斗六市榴中里石榴路317號,16846646370,TWSE,04,1434,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
03101946,中福國際(股)公司,新北市中和區景平路666號2樓,1397800800,TWSE,20,1435,src_tw_twse_portal,臺灣證券交易所,上市公司基本資料 t187ap03_L,2026-08-15
